ZIP,NAME,YEAR,POVERTY_PERCENT,CHILD_POVERTY_PERCENT,AVG_INCOME
47708,Vanderburgh,2018,23.0,N/A,"118,152"
47710,Vanderburgh,2018,24.8,33.7,"49,567"
47711,Vanderburgh,2018,14.4,22.4,"66,756"
47712,Vanderburgh,2018,15.1,19.3,"68,384"
47713,Vanderburgh,2018,40.7,60.6,"38,445"
47714,Vanderburgh,2018,25.2,42.1,"51,437"
47715,Vanderburgh,2018,11.1,16.0,"65,036"
47720,Vanderburgh,2018,10.2,11.8,"80,522"
47725,Vanderburgh,2018,3.6,4.6,"123,564"
47601,Warrick,2018,11.9,13.3,"77,291"
47610,Warrick,2018,14.0,25.9,"60,899"
47613,Warrick,2018,7.6,5.5,"80,919"
47619,Warrick,2018,9.6,8.3,"73,990"
47630,Warrick,2018,5.2,6.2,"104,302"
47637,Warrick,2018,9.3,4.2,"68,896"
47523,Spencer,2018,8.9,8.0,"61,425"
47531,Spencer,2018,16.4,33.9,"57,847"
47537,Spencer,2018,8.8,29.8,"79,153"
47550,Spencer,2018,N/A,4.2,"83,654"
47577,Spencer,2018,3.7,0.0,"74,049"
47579,Spencer,2018,5.5,7.9,"89,100"
47588,Spencer,2018,7.8,3.8,"66,810"
47611,Spencer,2018,7.7,8.2,"77,529"
47615,Spencer,2018,11.8,3.9,"54,796"
47634,Spencer,2018,14.8,24.9,"59,582"
47635,Spencer,2018,11.5,18.2,"61,058"
47631,Posey,2018,3.8,8.2,"73,724"
47633,Posey,2018,6.6,2.0,"56,368"
47638,Posey,2018,5.3,4.9,"90,834"
47620,Posey,2018,14.0,16.6,"72,853"
47640,Gibson,2018,7.0,7.3,"68,990"
47666,Gibson,2018,13.3,12.4,"57,872"
47665,Gibson,2018,12.6,19.0,"68,070"
47670,Gibson,2018,11.8,15.9,"63,145"
47649,Gibson,2018,10.9,7.5,"61,993"
47660,Gibson,2018,10.7,16.7,"63,364"
47648,Gibson,2018,7.2,14.0,"76,210"
47639,Gibson,2018,3.1,1.9,"100,771"
42461,Henderson,2018,N/A,N/A,"44,723"
42462,Henderson,2018,10.7,18.8,"83,592"
42406,Henderson,2018,11.2,19.5,"62,119"
42420,Henderson,2018,19.6,24.4,"59,317"
42452,Henderson,2018,N/A,N/A,"93,140"
42458,Henderson,2018,10.1,25.2,"84,039"
42451,Henderson,2018,N/A,N/A,"34,826"
42301,Henderson,2018,18.4,24.8,"63,105"
47708,Vanderburgh,2015,45.5,100.0,"43,434"
47710,Vanderburgh,2015,23.1,32.9,47077
47711,Vanderburgh,2015,12.4,19.3,60461
47712,Vanderburgh,2015,15.4,19.5,58115
47713,Vanderburgh,2015,39.6,63.1,34545
47714,Vanderburgh,2015,23.7,39.6,46283
47715,Vanderburgh,2015,10.4,14.2,56669
47720,Vanderburgh,2015,12.7,17.3,71949
47725,Vanderburgh,2015,4.0,4.7,115335
47601,Warrick,2015,12.0,22.7,68583
47610,Warrick,2015,18.5,36.1,60452
47613,Warrick,2015,8.2,9.8,73868
47619,Warrick,2015,8.0,8.7,69416
47630,Warrick,2015,8.0,13.7,88680
47637,Warrick,2015,12.7,14.8,62838
47523,Spencer,2015,11.0,21.3,56830
47531,Spencer,2015,7.4,0.0,56001
47537,Spencer,2015,8.4,16.1,63428
47550,Spencer,2015,1.5,2.5,94152
47577,Spencer,2015,13.2,0.0,56879
47579,Spencer,2015,2.9,1.6,86777
47588,Spencer,2015,26.1,50.5,55329
47611,Spencer,2015,7.3,4.9,78536
47615,Spencer,2015,29.6,53.8,48718
47634,Spencer,2015,5.2,2.6,61019
47635,Spencer,2015,15.2,28.1,55257
47631,Posey,2015,5.8,8.9,66328
47633,Posey,2015,12.0,20.3,61036
47638,Posey,2015,3.4,2.9,79647
47620,Posey,2015,13.4,17.8,74399
47640,Gibson,2015,15.8,11.1,57661
47666,Gibson,2015,12.3,13.0,58556
47665,Gibson,2015,11.3,22.9,67766
47670,Gibson,2015,12.7,14.1,56265
47649,Gibson,2015,12.1,16.9,50931
47660,Gibson,2015,12.7,18.2,53224
47648,Gibson,2015,6.3,7.4,71607
47639,Gibson,2015,6.6,4.4,92721
42461,Henderson,2015,N/A,N/A,38009
42462,Henderson,2015,7.7,4.9,67907
42406,Henderson,2015,13.0,17.5,60380
42420,Henderson,2015,19.8,30.1,53649
42452,Henderson,2015,N/A,N/A,63932
42458,Henderson,2015,10.0,17.9,83508
42451,Henderson,2015,N/A,N/A,24692
42301,Henderson,2015,18.0,25.7,55320
47708,Vanderburgh,2012,3.7,1.4,"40,034"
47710,Vanderburgh,2012,19.5,28.5,"47,978"
47711,Vanderburgh,2012,12.6,16.5,"61,437"
47712,Vanderburgh,2012,17.1,17.7,"57,078"
47713,Vanderburgh,2012,33.5,54.4,"36,366"
47714,Vanderburgh,2012,19,29.3,"45,841"
47715,Vanderburgh,2012,12.1,20.5,"58,787"
47720,Vanderburgh,2012,10.3,13.2,"71,979"
47725,Vanderburgh,2012,4.8,6.0,"97,260"
47601,Warrick,2012,12.1,22.3,"68,026"
47610,Warrick,2012,14.1,25.0,"57,321"
47613,Warrick,2012,4.3,6.7,"65,409"
47619,Warrick,2012,8.9,19.0,"58,015"
47630,Warrick,2012,7.5,10.3,"90,327"
47637,Warrick,2012,16.5,20.3,"50,445"
47523,Spencer,2012,11.2,28.1,"58,042"
47531,Spencer,2012,25.9,48.4,"60,700"
47537,Spencer,2012,10.8,16.7,"57,785"
47550,Spencer,2012,0.0,0.0,"72,635"
47577,Spencer,2012,16.9,11.7,"53,242"
47579,Spencer,2012,6.8,4.7,"74,330"
47588,Spencer,2012,27.5,50.4,"49,101"
47611,Spencer,2012,26.3,51.6,"59,497"
47615,Spencer,2012,22.3,38.6,"63,451"
47634,Spencer,2012,5.9,2.7,"59,636"
47635,Spencer,2012,13.9,21.3,"56,404"
47631,Posey,2012,8.2,9.4,"60,143"
47633,Posey,2012,20.2,36.3,"57,563"
47638,Posey,2012,5.4,8.5,"68,344"
47620,Posey,2012,10.6,18.2,"72,348"
47640,Gibson,2012,25.4,66.7,"65,061"
47666,Gibson,2012,7.1,4.2,"61,523"
47665,Gibson,2012,5.6,5.7,"64,483"
47670,Gibson,2012,15.6,21.2,"56,487"
47649,Gibson,2012,16.1,20.4,"50,090"
47660,Gibson,2012,17.8,20.0,"48,569"
47648,Gibson,2012,8.8,8.7,"62,056"
47639,Gibson,2012,6.1,6.7,"78,180"
42461,Henderson,2012,N/A,N/A,"45,184"
42462,Henderson,2012,6.3,9.3,"67,710"
42406,Henderson,2012,10.6,13.4,"63,204"
42420,Henderson,2012,17.7,26.1,"54,349"
42452,Henderson,2012,N/A,N/A,"66,668"
42458,Henderson,2012,23.4,39.3,"57,754"
42451,Henderson,2012,N/A,N/A,"47,715"
42301,Henderson,2012,15.5,22.0,"52,962"
